CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Especialidade
Período:Fev/2020
"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"293135 Teixeira de Freitas";103;101;43;32;4;6;289
"293150 Teofilândia";-;9;5;4;-;-;18
"293160 Teolândia";1;14;3;6;-;-;24
"293180 Tremedal";1;11;3;4;-;-;19
"293190 Tucano";14;14;14;16;-;-;58
"293200 Uauá";-;12;6;6;-;-;24
"293210 Ubaíra";16;31;8;16;-;-;71
"293220 Ubaitaba";24;32;24;20;-;-;100
"293230 Ubatã";-;25;4;8;-;-;37
"293240 Uibaí";6;10;6;8;-;-;30
"293245 Umburanas";-;3;2;-;-;-;5
"293250 Una";8;16;8;13;2;-;47
"293260 Urandi";4;22;4;4;-;-;34
"293280 Utinga";-;9;6;4;1;-;20
"293290 Valença";28;43;18;22;10;-;121
"293300 Valente";14;27;9;14;-;-;64
"293305 Várzea da Roça";6;8;3;4;-;-;21
"293310 Várzea do Poço";-;16;7;7;-;-;30
"293315 Várzea Nova";2;8;4;6;-;-;20
"293320 Vera Cruz";6;8;9;4;-;-;27
"293325 Vereda";-;5;5;2;-;-;12
"293330 Vitória da Conquista";357;263;98;91;27;13;849
"293340 Wagner";5;14;9;9;-;-;37
"293345 Wanderley";5;14;4;5;-;-;28
